biolab_index,rdkit,standard_value,Binary,assay_type,not_sure
-2271189572612291214,CCc1ncnc(-c2ccc(C(=O)N3[C@H]4C[C@@H]3N4C)c(F)c2)c1C#Cc1ccc(N)nc1,6.477555766493679,0,binding,1
-3586899716673204445,C[C@@H]1COCCN1c1nc(N2CCOC[C@H]2C)c2nc(-c3cc(CO)ccc3F)[nH]c2n1,6.769551078621731,0,binding,1
8144662176983972856,COC[C@@]1(C(N)=O)CCCN1C(=O)Nc1nc(C)c(-c2ccnc(C(C)(C)C)n2)s1,7.30980391997149,1,binding,1
2455001811534892714,CCN(CC)c1nccc(-c2sc(NC(=O)N3CC[C@@H]4C[C@]43C(N)=O)nc2C)n1,7.11918640771921,1,binding,1
-4774653679973179251,Cc1nc(NC(=O)N2CCC[C@]2(C(N)=O)C(F)F)sc1-c1ccnc(C(C)(C)C)n1,6.8860566476931595,0,binding,1
8315012309564631321,Cc1nc(NC(=O)N2CCC[C@@]2(CN(C)C)C(N)=O)sc1-c1ccnc(C(C)(C)C)n1,7.3565473235138095,1,binding,1
3006940773219143480,Cc1nc(NC(=O)N2C[C@H](O)C[C@@]2(C)C(N)=O)sc1-c1ccnc(C(C)(C)C)n1,7.508638306165731,1,binding,0
1534852815777086942,CCc1ncnc(-c2ccc(C(=O)N3CCCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.3936186348894,0,binding,1
5420599569190173552,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCCC4)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.645891560852599,0,binding,1
-1519228501389914219,CCc1ncnc(-c2ccc(C(=O)NCC3(C)COC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.180456064458129,1,binding,1
-8412349135196873552,CCc1ncnc(N2CCC(O)(C(C)C)CC2)c1C#Cc1ccc(C)nc1,6.7644715530924495,0,binding,1
-1506380515433474109,CCc1ncnc(-c2ccc(C(=O)N(C)CC(C)(C)O)c(F)c2)c1C#Cc1ccc(N)nc1,7.075720713938121,1,binding,1
948793463064295542,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCO)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.075720713938121,1,binding,1
2436349059809171338,CCc1ncnc(N2CCC(C)(OC)CC2)c1C#Cc1ccc(N)nc1,7.275724130399211,1,binding,1
4577304098830439250,Cc1ncnc(N2CCC(CC(=O)N3CCOCC3)CC2)c1C#Cc1ccc(N)nc1,7.08092190762393,1,binding,1
-6892410873130579460,CCc1ncnc(-c2ccc(C(=O)N3CCC(N(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.45967052520913,0,binding,1
-3999542743963666427,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCO4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.92811799269387,0,binding,1
1405590621337125618,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCOC)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.87289520163519,0,binding,1
4102055031510233537,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)(C)C)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.600326278518961,0,binding,1
7029438581515456285,CCc1ncnc(N2CCC(O)(C(F)(F)F)CC2)c1C#Cc1ccc(N)nc1,7.275724130399211,1,binding,1
7101563804294482011,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN4CCC[C@H]4C3)c(F)c2)c1C#Cc1ccc(NC)nc1,6.23567439437402,0,binding,1
-1857079637435622189,CCc1ncnc(N2CCCCC2)c1C#Cc1ccc(NC)nc1,6.669586226650809,0,binding,1
7526200470910505001,CCc1ncnc(-c2ccc(C(=O)N3CCC(C(C)(C)O)CC3)c(F)c2)c1C#Cc1ccc(NC)nc1,6.474955192963151,0,binding,1
9011048088289316432,Cc1ncnc(N2CCC3(CC2)OCCCO3)c1C#Cc1ccc(N)nc1,7.85387196432176,1,binding,0
-2634361143960072224,CCc1ncnc(-c2ccc(C(=O)N(C)CCO)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.44369749923271,1,binding,1
-7656482850964220346,CCc1ncnc(-c2ccc(C(=O)N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.0748220343941295,0,binding,1
6631192199477679043,CCc1ncnc(-c2ccc(C(=O)N3CCC(CN(C)C)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.3517375942519605,0,binding,1
-1295330464494244497,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C)C[C@H]3C)c(F)c2)c1C#Cc1ccc(N)nc1,6.438850894304639,0,binding,1
